Resource,Link,Description
winPEAS x64,https://github.com/carlospolop/PEASS-ng,Windows Privilege Escalation Awesome Script (x64 binary).
GodPotato (.NET 4),https://github.com/BeichenDream/GodPotato,Abuse SeImpersonatePrivilege on recent Windows.
PrintSpoofer (x64),https://github.com/itm4n/PrintSpoofer,Print spooler-based SeImpersonatePrivilege escalation (x64).
RustScan (Linux x86_64),https://github.com/RustScan/RustScan,Modern fast port scanner. Upstream wraps the tarball in a zip: unzip then tar -xzf to extract.
ligolo-ng agent (Linux x86_64),https://github.com/nicocha30/ligolo-ng,"Tunneling/pivoting agent side, dropped on a Linux foothold."
ligolo-ng agent (Linux ARM64),https://github.com/nicocha30/ligolo-ng,"Tunneling/pivoting agent side, dropped on a Linux ARM64 foothold."
ligolo-ng agent (Windows x86_64),https://github.com/nicocha30/ligolo-ng,"Tunneling/pivoting agent side, dropped on a Windows foothold."
ligolo-ng proxy (Linux x86_64),https://github.com/nicocha30/ligolo-ng,"Tunneling/pivoting proxy side, runs on the attacker machine (nihil container). Manages tunnels from agents."
ligolo-ng proxy (Windows x86_64),https://github.com/nicocha30/ligolo-ng,ligolo-ng proxy compiled for Windows (cross-op pivot scenarios).
PowerSploit,https://github.com/PowerShellMafia/PowerSploit,"Post-exploitation PowerShell framework (PowerView, PowerUp, etc.)."
mimikatz (source),https://github.com/gentilkiwi/mimikatz,"Windows credential extraction toolkit, source tree (no precompiled binaries on master). For ready-to-drop binaries see the mimikatz entry."
mimikatz (precompiled binaries),https://github.com/gentilkiwi/mimikatz,"Precompiled mimikatz binaries from the latest release (x64, Win32, mimidrv.sys). Pairs with the mimikatz-src submodule for sources."
PrivescCheck,https://github.com/itm4n/PrivescCheck,Privilege escalation enumeration script for Windows.
SharpCollection,https://github.com/Flangvik/SharpCollection,Nightly builds of common C# offensive tools.
p0wny-shell (full repo),https://github.com/flozz/p0wny-shell,"Single-file PHP shell, kept as a submodule for reproducibility."
